date,open,high,low,close,volume
12/1/2011,303.0869,311.1693,302.5818,310.0428,3619290
12/2/2011,311.6997,315.2104,311.3006,313.3717,4084603
12/5/2011,317.0491,319.2011,314.4022,316.0439,3195292
12/6/2011,314.7002,317.5442,313.3111,315.0942,2326218
12/7/2011,314.0385,316.049,312.2301,314.9023,2256480
12/8/2011,313.7152,316.9532,310.8157,311.1945,2411328
12/9/2011,312.1795,317.8018,311.6795,316.938,2762815
12/12/2011,314.1395,316.3116,313.3363,315.9126,2183335
12/13/2011,317.6149,321.555,314.6295,316.0338,4025729
12/14/2011,314.1233,315.3721,309.3962,312.2149,3895707
12/15/2011,314.4628,315.2104,312.5281,312.9575,2407257
12/16/2011,315.3721,317.8978,313.9324,316.2005,4452345
12/19/2011,317.236,317.4836,313.1898,314.1143,2142089
12/20/2011,317.231,319.1708,317.2259,318.4282,2385658
12/21/2011,318.2463,319.1607,312.6645,316.1298,2497101
12/22/2011,317.2057,319.1152,316.7309,318.0897,1821220
12/23/2011,319.2516,320.6054,318.5242,319.8274,1453416
12/27/2011,319.2768,325.5608,319.2516,323.419,1604892
12/28/2011,324.6819,325.8185,322.333,323.1412,2126536
12/29/2011,324.0454,324.8082,320.868,324.5051,1571565
12/30/2011,324.3131,326.7075,324.3131,326.2731,1780941
1/3/2012,329.8293,337.5126,329.5414,336.1285,3671840
1/4/2012,335.9365,338.5734,333.7088,337.5782,2855601
1/5/2012,334.4716,335.4011,331.4912,332.8955,3278639
1/6/2012,332.9663,333.3956,328.2381,328.3543,2692127
1/9/2012,326.5762,326.8288,313.8112,314.4325,5821468
1/10/2012,318.115,320.1608,311.6289,314.776,4393893
1/11/2012,314.9578,317.9331,313.7576,316.2005,2398850
1/12/2012,318.8576,319.7012,316.4733,318.0594,1874793
1/13/2012,316.352,316.7006,313.7253,315.7105,2306560
1/17/2012,319.2415,319.2415,316.0591,317.524,1909194
1/18/2012,316.5389,320.2619,314.2607,319.7113,2760676
1/19/2012,323.7928,323.7928,318.9788,323.0755,6191460
1/20/2012,298.3032,298.5406,293.8428,296.0099,10574250
1/23/2012,296.0149,297.3586,294.5803,295.7724,3412900
1/24/2012,296.1766,296.8636,291.9738,293.4538,3053543
1/25/2012,291.7262,292.3324,286.104,287.675,4985559
1/26/2012,288.9328,290.1956,285.1796,286.9728,3225543
1/27/2012,288.3266,293.1457,287.5941,292.9739,3617065
1/30/2012,291.999,292.984,289.6501,291.8172,2330448
1/31/2012,294.4995,295.0046,290.5341,293.0396,2143340
2/1/2012,295.4795,295.7623,292.5496,293.4033,2319450
2/2/2012,295.4441,296.222,294.0347,295.5653,2414672
2/3/2012,298.3689,301.6069,297.0505,301.2331,3167985
2/6/2012,300.5663,308.5577,300.0611,307.6787,3679425
